"id","property_code","property_serial","offer_type","title","description","property_type","location","allocation_status","assigned_to","price","created_at","image","land_area","builtup_area","floor_area","no_of_floors","bedrooms","bedrooms_ac","bedrooms_non_ac","bathrooms","parking_spaces","built_year","furnishing_status","features","owner_id","updated_at","deleted_at","latitude","longitude","city","district","project_id","rental_yield","lease_term_months","maintenance_cost","commission_percent"
"166","SA-000129","129","sale","Capital Heights 3bedrooms sale - Rajagiriya","24 A1 on Capital Heights","apartment","Buthgamuwa road","unallocated","2","115000000.00","2026-06-03 12:25:00","prop_6a1fcfc45ec731.42732411.jpeg",NULL,NULL,"1960.00","39","3","3","0","3","1","2020","semi_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","216","2026-06-03 12:38:57",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"167","SA-000130","130","sale","Iconic Galaxy 3 bedrooms largest layout sale  - Rajagiriya","25G type","apartment","Buthgamuwa road","unallocated","2","95000000.00","2026-06-03 13:04:42","prop_6a1fd912dd8b25.99783039.jpg",NULL,NULL,"1640.00","39","3","3","0","3","1","2020","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","217","2026-06-03 13:07:41",NULL,NULL,NULL,"Rajagiriya","Rajagiriya",NULL,NULL,NULL,NULL,NULL
"168","RA-000131","131","rent","Cinnamon life 2 bedrooms rent -Colombo 2","13 B 2","apartment","Glennie street","unallocated","2","650000.00","2026-06-03 13:33:12","prop_6a1fdfc0453d12.84960080.jpeg",NULL,NULL,"1263.00",NULL,"2","2","0","2","1","2022","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","218","2026-06-03 14:22:43",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"169","RA-000132","132","rent","Capital Twin peaks 2 bedrooms rent - Colombo 2",,"apartment","Altair street","unallocated","2","650000.00","2026-06-03 14:21:57","prop_6a1feb2d2a8916.48509754.jpeg",NULL,NULL,"1300.00",NULL,"2","2","0","2","1","2022","fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","219","2026-06-03 14:22:21",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"170","RA-000133","133","rent","Fairmount 3 bedrooms apaprtment rent - Rajajgiriya","18C","apartment","Rajagiriya","unallocated","1","350000.00","2026-06-08 17:36:44","prop_6a26b0544c6979.89499247.jpg",NULL,NULL,"1580.00",NULL,"3","3","0","2","1",NULL,"fully_furnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","220","2026-06-08 17:36:44",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"11",NULL,NULL
"171","SA-000134","134","sale","Capital Heights 3 bedrooms sale - Rajajgiriya","34A2","apartment","Rajagiriya","unallocated","1","130000000.00","2026-06-20 17:20:30","main_6a367ea213351.jpg",NULL,NULL,"1980.00","38","3","3","0","3","2","2022","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","221","2026-06-20 17:20:58",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"172","RA-000135","135","rent","Rozmead towers 3 bedrooms rent - Colombo 7",,"apartment","Rozmead place","unallocated","1","375000.00","2026-06-20 17:39:52","prop_6a3683100d3b00.69453953.jpg",NULL,NULL,"2100.00","10","3","3","0","2","1",NULL,"fully_furnished","[""maids_room"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","222","2026-06-20 17:40:19",NULL,NULL,NULL,"Colombo 7","Colombo",NULL,NULL,"12",NULL,NULL
"173","SA-000136","136","sale","The Address 606 3bedrooms sale - Colombo 3","45th floor tall tower 3 bedrooms 606","apartment","Galle road","unallocated","1","160000000.00","2026-06-22 12:56:16","prop_6a38e39819e2a7.26143082.jpeg",NULL,NULL,"1680.00","50","3","3","0","3","1","2024","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","223","2026-06-22 12:56:16",NULL,NULL,NULL,"Colombo 3","Colombo",NULL,NULL,NULL,NULL,NULL
"174","SA-000137","137","sale","The Address 606 2 bedrooms apaprtment at Colombo 3 for sale",NULL,"apartment","Galle road","unallocated","1","90000000.00","2026-06-22 13:10:47","prop_6a38e6ff2a2950.37581897.jpeg",NULL,NULL,"1050.00",NULL,"2","2","0","2","1","2022","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","224","2026-06-22 13:10:47",NULL,NULL,NULL,"Colombo 3","Colombo",NULL,NULL,NULL,NULL,NULL
"175","SA-000138","138","sale","CCC 3 bedrooms sale - Colombo 2",,"apartment","Colombo 2","unallocated","1","275000000.00","2026-06-22 14:01:57","main_6a38f44edb7b5.jpeg",NULL,NULL,"2118.00",NULL,"3","3","0","2","1","2020","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","225","2026-06-22 14:07:34",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,NULL,NULL,NULL
"176","SA-000139","139","sale","Capital Heights 3 bedrooms unfurnished  sale - Rajagiriya","28 B1","apartment","Buthgamuwa road","unallocated","1","107000000.00","2026-06-22 14:27:11","prop_6a38f8e70b02e8.08441917.jpg",NULL,NULL,"1890.00",NULL,"3","3","0","3","1","2021","unfurnished","[""swimming_pool"", ""sauna"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three"", ""fire_alarm""]","226","2026-06-22 14:27:42",NULL,NULL,NULL,"Rajajgiriya","Colombo",NULL,NULL,NULL,NULL,NULL
"177","RA-000140","140","rent","Fairway Sky gardens 3 bedrooms for rent -Rajagiriya","10 E","apartment","Buthgamuwa road","unallocated","1","335000.00","2026-07-27 20:08:14","prop_6a676d56aecaa4.40326035.jpeg",NULL,NULL,"1480.00","30","3","3","0","2",NULL,NULL,NULL,"[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_solar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","227","2026-07-27 20:08:37",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"12",NULL,NULL
"178","RA-000141","141","rent","Iconic Galaxy 2 bedrooms rent - Rajajgiriya","Highest catogery furnished apaprtment at Iconic Galacy","apartment","Rajagiriya","unallocated","1","330000.00","2026-07-27 20:24:10","prop_6a6771129c56b8.70723460.jpeg",NULL,NULL,"1205.00",NULL,"2","2","0","2","1","2022",NULL,"[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","228","2026-07-27 20:24:10",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"12",NULL,NULL
"179","RA-000142","142","rent","Trizen 2 bedrooms rent - Colombo 2","He owns Tower 3 26 B 3 apaprtment","apartment","Union place","unallocated","1","430000.00","2026-07-27 20:34:55","prop_6a6773976bcd98.59902195.jpeg",NULL,NULL,"731.00","50","2","2","0","1","1","2025","fully_furnished","[""swimming_pool"", ""roof_garden"", ""bbq_area"", ""pool_bar"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","229","2026-07-27 20:39:08",NULL,NULL,NULL,"Colombo 2","Colombo",NULL,NULL,"12",NULL,NULL
"180","RA-000143","143","rent","Sky gardens 3 bedrooms rent - Rajagiriya",NULL,"apartment","Buthgamuwa road","unallocated","1","350000.00","2026-07-27 20:58:50","prop_6a67793269eb93.62974778.jpeg",NULL,NULL,"1480.00",NULL,"3","3","0","2","2",NULL,"fully_furnished","[""swimming_pool"", ""roof_garden"", ""maids_room"", ""bbq_area"", ""hot_water_electric"", ""main_line_water"", ""electricity_three""]","230","2026-07-27 20:58:50",NULL,NULL,NULL,"Rajagiriya","Colombo",NULL,NULL,"12",NULL,NULL
